Received unicast from fd00::f6ce:363e:1c0f:2d3 on port 1027: 'MCast Count: 96, Est. Hops: 0'
Received unicast from fd00::f6ce:364f:ef87:4e07 on port 1027: 'MCast Count: 92, Est. Hops: 0'
Received unicast from fd00::f6ce:364c:9d91:7c24 on port 1027: 'MCast Count: 92, Est. Hops: 0'
Received unicast from fd00::f6ce:3696:2f4f:8666 on port 1027: 'MCast Count: 89, Est. Hops: 0'
Received unicast from fd00::f6ce:3608:b8bf:a070 on port 1027: 'MCast Count: 88, Est. Hops: 0'
Received unicast from fd00::f6ce:3621:8bc0:821 on port 1027: 'MCast Count: 83, Est. Hops: 0'
Received unicast from fd00::f6ce:366b:c208:ed21 on port 1027: 'MCast Count: 83, Est. Hops: 0'
Received unicast from fd00::f6ce:36ea:7256:11c8 on port 1027: 'MCast Count: 77, Est. Hops: 0'
Received unicast from fd00::f6ce:36ed:84ec:d1a4 on port 1027: 'MCast Count: 81, Est. Hops: 0'
Received unicast from fd00::f6ce:362d:24a0:fdcd on port 1027: 'MCast Count: 74, Est. Hops: 0'
Received unicast from fd00::f6ce:369a:1a5b:6238 on port 1027: 'MCast Count: 78, Est. Hops: 0'
Received unicast from fd00::f6ce:360a:367b:a9a on port 1027: 'MCast Count: 9, Est. Hops: 1'
Received unicast from fd00::f6ce:364c:817e:36ad on port 1027: 'MCast Count: 25, Est. Hops: 1'
Received unicast from fd00::f6ce:36a2:66db:c584 on port 1027: 'MCast Count: 19, Est. Hops: 1'
Received unicast from fd00::f6ce:36c2:96e9:6e33 on port 1027: 'MCast Count: 19, Est. Hops: 1'
Received unicast from fd00::f6ce:363f:ef7f:acfd on port 1027: 'MCast Count: 19, Est. Hops: 1'
Received unicast from fd00::f6ce:3618:4b37:a70 on port 1027: 'MCast Count: 12, Est. Hops: 1'
