ROOT STATS: Total MCAST RX=100. Last MCAST TTL=64, Est. Hops From Source=0
ROOT: UNICAST RX from fd00::f6ce:363e:1c0f:2d3 Port 1027: 'MCast Count: 96, Est. Hops: 0'
ROOT: UNICAST RX from fd00::f6ce:364f:ef87:4e07 Port 1027: 'MCast Count: 93, Est. Hops: 0'
ROOT: UNICAST RX from fd00::f6ce:364c:9d91:7c24 Port 1027: 'MCast Count: 92, Est. Hops: 0'
ROOT: UNICAST RX from fd00::f6ce:3696:2f4f:8666 Port 1027: 'MCast Count: 94, Est. Hops: 1'
ROOT: UNICAST RX from fd00::f6ce:3621:8bc0:821 Port 1027: 'MCast Count: 93, Est. Hops: 0'
ROOT: UNICAST RX from fd00::f6ce:366b:c208:ed21 Port 1027: 'MCast Count: 90, Est. Hops: 1'
ROOT: UNICAST RX from fd00::f6ce:3604:3aaa:51bc Port 1027: 'MCast Count: 91, Est. Hops: 1'
ROOT: UNICAST RX from fd00::f6ce:36ea:7256:11c8 Port 1027: 'MCast Count: 89, Est. Hops: 2'
ROOT: UNICAST RX from fd00::f6ce:36ed:84ec:d1a4 Port 1027: 'MCast Count: 88, Est. Hops: 1'
ROOT: UNICAST RX from fd00::f6ce:36be:a8e:d3a0 Port 1027: 'MCast Count: 90, Est. Hops: 1'
ROOT: UNICAST RX from fd00::f6ce:362d:24a0:fdcd Port 1027: 'MCast Count: 90, Est. Hops: 1'
ROOT: UNICAST RX from fd00::f6ce:369a:1a5b:6238 Port 1027: 'MCast Count: 87, Est. Hops: 1'
ROOT: UNICAST RX from fd00::f6ce:3630:d744:f2c1 Port 1027: 'MCast Count: 88, Est. Hops: 2'
ROOT: UNICAST RX from fd00::f6ce:364c:817e:36ad Port 1027: 'MCast Count: 89, Est. Hops: 1'
ROOT: UNICAST RX from fd00::f6ce:36a2:66db:c584 Port 1027: 'MCast Count: 90, Est. Hops: 2'
ROOT: UNICAST RX from fd00::f6ce:36c2:96e9:6e33 Port 1027: 'MCast Count: 80, Est. Hops: 2'
ROOT: UNICAST RX from fd00::f6ce:363f:ef7f:acfd Port 1027: 'MCast Count: 85, Est. Hops: 2'
